data,epoch,epsilon_dpsgd,epsilon_dr,DPSGD,DPDRI,DPDR,DIFF,AutoClip,DPAdam,DIFF2
CIFAR10,1,1.556499444,1.534407575,0.3043,0.3663,0.3293,0.2588,0.3043,0.2893,0.5
CIFAR10,2,1.675763785,1.652758191,0.3805,0.43,0.3969,0.28,0.3805,0.3446,0.5
CIFAR10,3,1.774883882,1.752159862,0.4285,0.449,0.4244,0.3025,0.4285,0.3917,0.5
CIFAR10,4,1.865353492,1.842769975,0.4557,0.4769,0.4507,0.3518,0.4557,0.4267,0.5
CIFAR10,5,1.950343566,1.927846398,0.4795,0.4913,0.4551,0.3821,0.4795,0.4465,0.5
CIFAR10,6,2.02941123,2.008439606,0.4912,0.5089,0.4699,0.3968,0.4912,0.4578,0.5
CIFAR10,7,2.107304116,2.086367428,0.497,0.5126,0.4933,0.4216,0.497,0.4765,0.5
CIFAR10,8,2.181684662,2.162223092,0.5115,0.522,0.4942,0.4344,0.5115,0.486,0.5
CIFAR10,9,2.254766911,2.235324236,0.5133,0.5199,0.5167,0.443,0.5133,0.4997,0.5
CIFAR10,10,2.325759918,2.307772486,0.5205,0.5283,0.5203,0.458,0.5205,0.5084,0.5
CIFAR10,11,2.396099009,2.378130483,0.5326,0.5354,0.5265,0.4713,0.5326,0.517,0.5
CIFAR10,12,2.463637754,2.447103578,0.5421,0.5393,0.5296,0.4846,0.5421,0.5243,0.5
CIFAR10,13,2.531522851,2.515977099,0.5444,0.548,0.5234,0.4932,0.5444,0.5318,0.5
CIFAR10,14,2.597411812,2.5823219,0.5471,0.5518,0.543,0.5031,0.5471,0.5339,0.5
CIFAR10,15,2.662327641,2.648666702,0.5484,0.5587,0.5435,0.5033,0.5484,0.5383,0.5
CIFAR10,16,2.727559455,2.713883044,0.5448,0.556,0.5444,0.5044,0.5448,0.5412,0.5
CIFAR10,17,2.79019269,2.777944409,0.5546,0.5634,0.5508,0.5105,0.5546,0.5419,0.5
CIFAR10,18,2.852825926,2.841977712,0.5563,0.5621,0.5474,0.5181,0.5563,0.5495,0.5
CIFAR10,19,2.914899482,2.904009126,0.5483,0.564,0.5527,0.5194,0.5483,0.5519,0.5
CIFAR10,20,2.975812047,2.96635865,0.5525,0.5714,0.5643,0.5202,0.5525,0.553,0.5
