data,epoch,epsilon_dpsgd,epsilon_dr,DPSGD,DPDRI,DPDR,DIFF,AutoClip,DPAdam,DIFF2
MNIST,1,1.637009473,1.603362964,0.9,0.8723,0.8315,0.9072,0.8566,0.8046,0.7466
MNIST,2,1.755045775,1.722300665,0.9,0.9208,0.9073,0.9265,0.9171,0.8973,0.8581
MNIST,3,1.851898761,1.820088632,0.9,0.9336,0.9281,0.9357,0.9325,0.922,0.8922
MNIST,4,1.939347812,1.908459035,0.9,0.9435,0.9345,0.9397,0.9431,0.9322,0.9114
MNIST,5,2.019507797,1.989942183,0.9,0.9477,0.9405,0.9434,0.9463,0.9405,0.9216
MNIST,6,2.096429528,2.069304852,0.9,0.9521,0.9469,0.9453,0.9506,0.9458,0.9297
MNIST,7,2.170373489,2.144354534,0.9,0.9521,0.9498,0.9463,0.9524,0.9468,0.9339
MNIST,8,2.241633109,2.218278215,0.9,0.9548,0.9534,0.9474,0.9528,0.9501,0.9379
MNIST,9,2.310819049,2.288933044,0.9,0.9555,0.9532,0.948,0.955,0.9517,0.9427
MNIST,10,2.378892535,2.359587872,0.9,0.9589,0.9532,0.9479,0.956,0.954,0.9463
MNIST,11,2.444595328,2.427038333,0.9,0.9603,0.9575,0.9486,0.9576,0.9559,0.9481
MNIST,12,2.510018535,2.494186687,0.9,0.9594,0.9553,0.9482,0.9592,0.9563,0.9513
MNIST,13,2.573547327,2.560294613,0.9,0.96,0.9547,0.9494,0.9602,0.958,0.9523
MNIST,14,2.636165314,2.624828799,0.9,0.9627,0.9568,0.9503,0.9587,0.9602,0.9539
MNIST,15,2.69851684,2.689088372,0.9,0.9633,0.9579,0.9526,0.9595,0.9602,0.9547
MNIST,16,2.759445396,2.752420137,0.9,0.9628,0.958,0.9531,0.9616,0.9631,0.9549
MNIST,17,2.819213432,2.814227867,0.9,0.9634,0.958,0.9536,0.962,0.9632,0.956
MNIST,18,2.878981469,2.876035597,0.9,0.9634,0.96,0.9528,0.9625,0.9627,0.9585
MNIST,19,2.937960467,2.937147666,0.9,0.965,0.962,0.957,0.9623,0.9615,0.9563
MNIST,20,2.995496023,2.996818105,0.9,0.9642,0.9607,0.9563,0.9615,0.9631,0.9591
