data,epoch,epsilon_dpsgd,epsilon_dr,DPSGD,DPDRI,DPDR,DIFF,AutoClip,DPAdam,DIFF2
SVHN,1,1.917858691,1.91244599,0.2545,0.283,0.2729,0.2588,0.2545,0.2514,0.5
SVHN,2,2.022754582,2.017734385,0.4156,0.4286,0.3938,0.28,0.4156,0.3811,0.5
SVHN,3,2.105408846,2.101721778,0.4673,0.4795,0.4814,0.3025,0.4673,0.4736,0.5
SVHN,4,2.178558907,2.17364066,0.5053,0.5125,0.5215,0.3518,0.5053,0.5038,0.5
SVHN,5,2.241482043,2.2392391,0.5291,0.5465,0.5503,0.3821,0.5291,0.5196,0.5
SVHN,6,2.30343969,2.300748315,0.5365,0.5587,0.5552,0.3968,0.5365,0.5459,0.5
SVHN,7,2.360127795,2.360372948,0.5533,0.5878,0.5854,0.4216,0.5533,0.5681,0.5
SVHN,8,2.414558157,2.414838315,0.5712,0.593,0.5886,0.4344,0.5712,0.5752,0.5
SVHN,9,2.468988519,2.469303681,0.5713,0.6074,0.598,0.443,0.5713,0.5865,0.5
SVHN,10,2.519959579,2.523347826,0.5802,0.6137,0.6036,0.458,0.5802,0.5882,0.5
SVHN,11,2.569078978,2.572805871,0.6151,0.6371,0.6345,0.4713,0.6151,0.607,0.5
SVHN,12,2.618198377,2.622263917,0.6228,0.6445,0.6428,0.4846,0.6228,0.6167,0.5
SVHN,13,2.66740395,2.671808731,0.623,0.6553,0.6491,0.4932,0.623,0.5909,0.5
SVHN,14,2.713970692,2.721266776,0.63,0.6636,0.6504,0.5031,0.63,0.634,0.5
SVHN,15,2.759196363,2.767171449,0.6396,0.6664,0.6571,0.5033,0.6396,0.6315,0.5
SVHN,16,2.804501376,2.813008819,0.6499,0.6673,0.6689,0.5044,0.6499,0.6405,0.5
SVHN,17,2.849727047,2.858765914,0.642,0.6694,0.6607,0.5105,0.642,0.6409,0.5
SVHN,18,2.894952717,2.904523008,0.6548,0.67,0.6684,0.5181,0.6548,0.6489,0.5
SVHN,19,2.938314533,2.950280102,0.6576,0.6791,0.6648,0.5194,0.6576,0.6514,0.5
SVHN,20,2.980645668,2.993743093,0.6587,0.6744,0.6709,0.5202,0.6587,0.6561,0.5
